State,City,Vulnerability Management,Vulnerability Analyst,Vulnerability Specialist,Incident Specialist,Incident Responder,Incident Analyst,Malware analyst,Reverse engineer,Threat analyst,Identity and access management specialist,SOC analyst,SOC engineer,Application specialist,Application engineer,Application Support,Server administrator,PEN tester,Systems investigator,City Total,State Total
Illinois,Downers Grove,241,51,27,0,1,3,0,2,0,14,5,40,3,0,5,2,79,1,474,6847
Texas,Coppell,234,45,16,0,1,4,0,48,2,4,5,1,9,0,6,1,98,0,474,5159
Illinois,Skokie,233,44,31,0,1,3,0,2,0,12,6,35,2,0,5,3,94,1,472,15067
Illinois,Wheeling,237,44,31,0,1,3,0,2,0,12,6,33,2,0,5,3,92,1,472,17345
Iowa,Council Bluffs,28,2,333,0,37,5,0,2,0,2,1,1,1,0,24,30,4,0,470,1494
Illinois,Evanston,228,43,29,0,1,3,0,2,0,12,6,34,2,0,5,3,94,1,463,8196
Illinois,Bolingbrook,158,36,17,0,154,1,0,1,0,10,4,25,3,0,4,1,47,1,462,2979
Nebraska,Bellevue,28,2,330,0,37,0,0,2,0,2,1,1,1,0,24,30,4,0,462,462
Texas,Grapevine,221,43,16,0,1,4,0,48,2,4,5,1,9,0,6,1,101,0,462,10895
Massachusetts,Chelsea,175,79,24,0,2,41,0,2,1,22,4,55,5,0,2,1,48,0,461,2465
Massachusetts,Revere,173,79,24,0,2,41,0,2,1,22,4,52,5,0,2,1,48,0,456,10052
Ohio,Youngstown,425,2,1,0,1,5,0,1,0,6,1,2,5,0,1,5,1,0,456,6610
Texas,Carrollton,231,43,13,0,1,4,0,45,2,4,5,1,8,0,5,1,92,0,455,3300
Texas,Lewisville,231,43,13,0,1,4,0,45,2,4,5,1,8,0,5,1,92,0,455,14653
California,Azusa,120,17,34,1,92,0,0,15,2,6,16,18,1,0,63,36,32,0,453,3934
Ohio,Warren,420,2,1,0,1,2,0,2,0,1,1,3,5,0,1,3,6,0,448,5844
California,Monrovia,106,18,9,1,93,34,0,1,2,7,17,20,1,0,62,41,34,0,446,41281
Massachusetts,Lynn,168,78,23,0,2,40,0,2,1,22,4,50,5,0,2,1,48,0,446,6002
Texas,Flower Mound,214,42,16,0,1,4,0,47,2,4,5,1,9,0,6,1,94,0,446,8095
Colorado,Longmont,26,14,300,0,38,1,0,10,2,1,1,27,2,0,2,9,9,0,442,4970
Colorado,Thornton,122,28,10,0,142,2,0,23,2,10,6,1,9,0,5,48,32,0,440,6605
Colorado,Northglenn,122,28,10,0,141,2,0,23,2,10,6,1,9,0,5,47,32,0,438,5656
Colorado,Westminster,122,28,10,0,142,2,0,23,0,10,6,1,9,0,5,48,32,0,438,7043
Illinois,Carol Stream,114,37,18,0,99,40,0,13,0,9,4,24,2,0,2,44,30,1,437,4010
Colorado,Arvada,121,28,10,0,140,2,0,22,2,10,6,1,9,0,5,47,32,0,435,435
Texas,The Colony,224,40,12,0,1,4,0,42,0,4,5,1,8,0,5,1,88,0,435,23132
Illinois,Hoffman Estates,129,34,21,0,109,43,0,17,0,8,4,25,2,0,2,1,38,1,434,9468
